ModelPath,AUC_Custom,PerfectPointFound,AUC_PR,AUC_ROC,CompositeF1,FolderName,Task,Model,Architecture,LossFunction,TimeSeriesID,PlotHTMLPath
/kaggle/working/results/transformer_ae_model_ep200_ts37.pth,0.0,True,0.2798537919249515,0.7223975542597992,0.0787746170678337,Anomaly_Task4_AE_Transformer_MaxDiff,4,AE,Transformer,MaxDiff,37,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MaxDiff/transformer_ae_plot_ep200_ts37.html
/kaggle/working/results/transformer_ae_model_ep200_ts4.pth,0.0,True,0.125589191493389,0.6831967060285892,0.6037735849056604,Anomaly_Task4_AE_Transformer_MaxDiff,4,AE,Transformer,MaxDiff,4,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MaxDiff/transformer_ae_plot_ep200_ts4.html
/kaggle/working/results/transformer_ae_model_ep200_ts43.pth,0.0,True,0.0750173790096685,0.4964189236598372,0.075268817204301,Anomaly_Task4_AE_Transformer_MaxDiff,4,AE,Transformer,MaxDiff,43,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MaxDiff/transformer_ae_plot_ep200_ts43.html
/kaggle/working/results/transformer_ae_model_ep200_ts45.pth,0.0001142857142857,False,0.017309484190963,0.3965377528220307,0.0,Anomaly_Task4_AE_Transformer_MaxDiff,4,AE,Transformer,MaxDiff,45,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MaxDiff/transformer_ae_plot_ep200_ts45.html
/kaggle/working/results/transformer_ae_model_ep200_ts50.pth,0.010204081632653,False,0.0294345466252485,0.665106791954476,0.0,Anomaly_Task4_AE_Transformer_MaxDiff,4,AE,Transformer,MaxDiff,50,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MaxDiff/transformer_ae_plot_ep200_ts50.html
/kaggle/working/results/transformer_ae_model_ep200_ts51.pth,0.0021367521367521,False,0.0020631932628504,0.596995539228549,0.0,Anomaly_Task4_AE_Transformer_MaxDiff,4,AE,Transformer,MaxDiff,51,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MaxDiff/transformer_ae_plot_ep200_ts51.html
/kaggle/working/results/transformer_ae_model_ep200_ts6.pth,0.0005767012687427,False,0.0050767173770497,0.4369611609048228,0.0,Anomaly_Task4_AE_Transformer_MaxDiff,4,AE,Transformer,MaxDiff,6,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MaxDiff/transformer_ae_plot_ep200_ts6.html
/kaggle/working/results/transformer_ae_model_ep200_ts69.pth,0.0002165439584235,False,0.0002204585537918,0.6550517346317711,0.0,Anomaly_Task4_AE_Transformer_MaxDiff,4,AE,Transformer,MaxDiff,69,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MaxDiff/transformer_ae_plot_ep200_ts69.html
/kaggle/working/results/transformer_ae_model_ep200_ts8.pth,0.1,False,0.0239219731473067,0.5770097912909045,0.0842105263157894,Anomaly_Task4_AE_Transformer_MaxDiff,4,AE,Transformer,MaxDiff,8,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MaxDiff/transformer_ae_plot_ep200_ts8.html
/kaggle/working/results/lstm_sae_model_ep200_ts11.h5,0.0,True,0.7919929983409371,0.9912957698815568,0.450530035335689,Anomaly_Task5_SAE_LSTM_MSE,5,SAE,LSTM,MSE,11,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task5_SAE_LSTM_MSE/lstm_sae_plot_ep200_ts11.html
/kaggle/working/results/lstm_sae_model_ep200_ts2.h5,0.0001969279243796,False,0.0035773493652518,0.1489399938852971,0.0,Anomaly_Task5_SAE_LSTM_MSE,5,SAE,LSTM,MSE,2,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task5_SAE_LSTM_MSE/lstm_sae_plot_ep200_ts2.html
/kaggle/working/results/lstm_sae_model_ep200_ts20.h5,0.0114503816793893,False,0.0582510946613776,0.431741571673546,0.0,Anomaly_Task5_SAE_LSTM_MSE,5,SAE,LSTM,MSE,20,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task5_SAE_LSTM_MSE/lstm_sae_plot_ep200_ts20.html
/kaggle/working/results/lstm_sae_model_ep200_ts21.h5,0.3333333333333333,False,0.6158557055549305,0.9969422477833692,0.6391752577319588,Anomaly_Task5_SAE_LSTM_MSE,5,SAE,LSTM,MSE,21,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task5_SAE_LSTM_MSE/lstm_sae_plot_ep200_ts21.html
/kaggle/working/results/lstm_sae_model_ep200_ts23.h5,0.0,True,0.5539124794973252,0.9900499732286274,0.6081504702194357,Anomaly_Task5_SAE_LSTM_MSE,5,SAE,LSTM,MSE,23,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task5_SAE_LSTM_MSE/lstm_sae_plot_ep200_ts23.html
/kaggle/working/results/lstm_sae_model_ep200_ts31.h5,0.0029498525073746,False,0.1115345282331298,0.8746686422413793,0.0,Anomaly_Task5_SAE_LSTM_MSE,5,SAE,LSTM,MSE,31,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task5_SAE_LSTM_MSE/lstm_sae_plot_ep200_ts31.html
/kaggle/working/results/lstm_sae_model_ep200_ts37.h5,0.0,True,0.9988191461199863,0.999997595286762,0.2331002331002331,Anomaly_Task5_SAE_LSTM_MSE,5,SAE,LSTM,MSE,37,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task5_SAE_LSTM_MSE/lstm_sae_plot_ep200_ts37.html
/kaggle/working/results/lstm_sae_model_ep200_ts4.h5,0.0,True,0.9623926941720532,0.9989198795180724,0.908653846153846,Anomaly_Task5_SAE_LSTM_MSE,5,SAE,LSTM,MSE,4,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task5_SAE_LSTM_MSE/lstm_sae_plot_ep200_ts4.html
/kaggle/working/results/lstm_sae_model_ep200_ts43.h5,0.0011476664116296,False,0.0336097938801081,0.8531963017853449,0.0,Anomaly_Task5_SAE_LSTM_MSE,5,SAE,LSTM,MSE,43,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task5_SAE_LSTM_MSE/lstm_sae_plot_ep200_ts43.html
/kaggle/working/results/lstm_sae_model_ep200_ts45.h5,0.000809435707678,False,0.0116203603641529,0.0474926679939203,0.0,Anomaly_Task5_SAE_LSTM_MSE,5,SAE,LSTM,MSE,45,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task5_SAE_LSTM_MSE/lstm_sae_plot_ep200_ts45.html
/kaggle/working/results/lstm_sae_model_ep200_ts50.h5,0.0049097967572505,False,0.010118648511689,0.4093041537928812,0.0,Anomaly_Task5_SAE_LSTM_MSE,5,SAE,LSTM,MSE,50,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task5_SAE_LSTM_MSE/lstm_sae_plot_ep200_ts50.html
/kaggle/working/results/lstm_sae_model_ep200_ts51.h5,0.0098039215686274,False,0.0811050012486275,0.9931835491241432,0.0,Anomaly_Task5_SAE_LSTM_MSE,5,SAE,LSTM,MSE,51,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task5_SAE_LSTM_MSE/lstm_sae_plot_ep200_ts51.html
/kaggle/working/results/lstm_sae_model_ep200_ts6.h5,0.0049261083743842,False,0.0172954728535052,0.8432091346153847,0.0,Anomaly_Task5_SAE_LSTM_MSE,5,SAE,LSTM,MSE,6,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task5_SAE_LSTM_MSE/lstm_sae_plot_ep200_ts6.html
/kaggle/working/results/lstm_sae_model_ep200_ts69.h5,0.0217391304347826,False,0.0238095238095238,0.9970704555441628,0.0092165898617511,Anomaly_Task5_SAE_LSTM_MSE,5,SAE,LSTM,MSE,69,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task5_SAE_LSTM_MSE/lstm_sae_plot_ep200_ts69.html
/kaggle/working/results/lstm_sae_model_ep200_ts8.h5,0.0027027027027027,False,0.034799358316289,0.8477292875564152,0.0,Anomaly_Task5_SAE_LSTM_MSE,5,SAE,LSTM,MSE,8,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task5_SAE_LSTM_MSE/lstm_sae_plot_ep200_ts8.html
